jnspemda,kodefungsi,fungsi,kodesubfungsi,subfungsi,kodeurusan,urusan/unsur,kodebidang,uraibidang,kodeprogram,uraiprogram,kodekegiatan,uraikegiatan,kodesubkegiatan,uraisubkegiatan,kinerja,indikator,satuan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.04,Koordinasi dan Pelaksanaan Akuntansi SKPD,Terlaksananya Koordinasi dan Pelaksanaan Akuntansi SKPD,Jumlah Dokumen Koordinasi dan Pelaksanaan Akuntansi SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.05,Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD,Tersedianya Laporan Keuangan Akhir Tahun SKPD dan Laporan Hasil Koordinasi Penyusunan Laporan Keuangan Akhir Tahun SKPD,Jumlah Laporan Keuangan Akhir Tahun SKPD dan Laporan Hasil Koordinasi Penyusunan Laporan Keuangan Akhir Tahun SKPD,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.06,Pengelolaan dan Penyiapan Bahan Tanggapan Pemeriksaan,Tersedianya Dokumen Bahan Tanggapan Pemeriksaan dan Tindak Lanjut Pemeriksaan,Jumlah Dokumen Bahan Tanggapan Pemeriksaan dan Tindak Lanjut Pemeriksaan,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.07,Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD,Tersedianya Laporan Keuangan Bulanan/Triwulanan/Semesteran SKPD dan Laporan Koordinasi Penyusunan Laporan Keuangan Bulanan/Triwulanan/Semesteran SKPD,Jumlah Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD dan Laporan Koordinasi Penyusunan Laporan Keuangan Bulanan/Triwulanan/Semesteran SKPD,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.08,Penyusunan Pelaporan dan Analisis Prognosis Realisasi Anggaran,Tersedianya Dokumen Pelaporan dan Analisis Prognosis Realisasi Anggaran ,Jumlah Dokumen Pelaporan dan Analisis Prognosis Realisasi Anggaran ,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,X.XX.01.2.03.01,Penyusunan Perencanaan Kebutuhan Barang Milik Daerah SKPD,Tersedianya Rencana Kebutuhan Barang Milik Daerah SKPD,Jumlah Rencana Kebutuhan Barang Milik Daerah SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,X.XX.01.2.03.02,Pengamanan Barang Milik Daerah SKPD,Terlaksananya Pengamanan Barang Milik Daerah SKPD,Jumlah Dokumen Pengamanan Barang Milik Daerah SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,X.XX.01.2.03.03,Koordinasi dan Penilaian Barang Milik Daerah SKPD,Tersedianya Laporan Hasil Penilaian Barang Milik Daerah dan Hasil Koordinasi Penilaian Barang Milik Daerah SKPD,Jumlah Laporan Hasil Penilaian Barang Milik Daerah dan Hasil Koordinasi Penilaian Barang Milik Daerah SKPD,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,X.XX.01.2.03.04,"Pembinaan, Pengawasan, dan Pengendalian Barang Milik Daerah pada SKPD","Terlaksananya Pembinaan, Pengawasan, dan Pengendalian Barang Milik Daerah pada SKPD","Jumlah Laporan Hasil Pembinaan, Pengawasan, dan Pengendalian Barang Milik Daerah pada SKPD",Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,X.XX.01.2.03.05,Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD,Terlaksananya Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD,Jumlah Laporan Rekonsiliasi dan Penyusunan Laporan Barang Milik Daerah pada SKPD,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,X.XX.01.2.03.06,Penatausahaan Barang Milik Daerah pada SKPD,Terlaksananya Penatausahaan Barang Milik Daerah pada SKPD,Jumlah Laporan Penatausahaan Barang Milik Daerah pada SKPD,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,X.XX.01.2.03.07,Pemanfaatan Barang Milik Daerah SKPD,Terlaksananya Pemanfaatan Barang Milik Daerah SKPD,Jumlah Dokumen Hasil Pemanfaatan Barang Milik Daerah SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.04,Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah,X.XX.01.2.04.01,Perencanaan Pengelolaan Retribusi Daerah,Tersedianya Rencana Pengelolaan Retribusi Daerah,Jumlah Dokumen Rencana Pengelolaan Retribusi Daerah,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.04,Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah,X.XX.01.2.04.02,"Analisa dan Pengembangan Retribusi Daerah, serta Penyusunan Kebijakan Retribusi Daerah",Tersedianya Hasil Analisis serta Pengembangan Retribusi Daerah dan Kebijakan Retribusi Daerah,Jumlah Dokumen Hasil Analisis serta Pengembangan Retribusi Daerah dan Kebijakan Retribusi Daerah,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.04,Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah,X.XX.01.2.04.03,Penyuluhan dan Penyebarluasan Kebijakan Retribusi Daerah,Terlaksananya Penyuluhan dan Penyebarluasan Kebijakan Retribusi Daerah,Jumlah Laporan Hasil Penyuluhan dan Penyebarluasan Kebijakan Retribusi Daerah,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.04,Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah,X.XX.01.2.04.04,Pendataan dan Pendaftaran Objek Retribusi Daerah,"Tersedianya Data Objek, Subjek dan Wajib Retribusi Daerah","Jumlah Data Objek, Subjek dan Wajib Retribusi Daerah ",Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.04,Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah,X.XX.01.2.04.05,Pengolahan Data Retribusi Daerah,"Terlaksananya Pengolahan, Pemeliharaan, dan Pelaporan Data Retribusi Daerah","Jumlah Laporan Hasil Pengolahan, Pemeliharaan, dan Pelaporan Data Retribusi Daerah",Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.04,Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah,X.XX.01.2.04.06,Penetapan Wajib Retribusi Daerah,Tersedianya Dokumen Ketetapan Retribusi Daerah,Jumlah Dokumen Ketetapan Retribusi Daerah,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.04,Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah,X.XX.01.2.04.07,Pelaporan Pengelolaan Retribusi Daerah,Tersedianya Laporan Pengelolaan Retribusi Daerah,Jumlah Laporan Pengelolaan Retribusi Daerah,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.01,Peningkatan Sarana dan Prasarana Disiplin Pegawai,Tersedianya Unit Peningkatan Sarana dan Prasarana Disiplin Pegawai,Jumlah Unit Peningkatan Sarana dan Prasarana Disiplin Pegawai,Unit
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.02,Pengadaan Pakaian Dinas beserta Atribut Kelengkapannya,Tersedianya Pakaian Dinas beserta Atribut Kelengkapan ,Jumlah Paket Pakaian Dinas beserta Atribut Kelengkapan,Paket
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.03,Pendataan dan Pengolahan Administrasi Kepegawaian,Terlaksananya Pendataan dan Pengolahan Administrasi Kepegawaian,Jumlah Dokumen Pendataan dan Pengolahan Administrasi Kepegawaian,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.04,Koordinasi dan Pelaksanaan Sistem Informasi Kepegawaian,Terlaksananya Koordinasi dan Pelaksanaan Sistem Informasi Kepegawaian,Jumlah Dokumen Hasil Koordinasi dan Pelaksanaaan Sistem Informasi Kepegawaian,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.05,"Monitoring, Evaluasi, dan Penilaian Kinerja Pegawai","Terlaksananya Monitoring, Evaluasi, dan Penilaian Kinerja Pegawai","Jumlah Dokumen Monitoring, Evaluasi, dan Penilaian Kinerja Pegawai",Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.06,Pemulangan Pegawai yang Pensiun,Terlaksananya Pemulangan Pegawai yang Pensiun,Jumlah Pegawai Pensiun yang Dipulangkan,Orang
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.07,Pemulangan Pegawai yang Meninggal dalam Melaksanakan Tugas,Terlaksananya Pemulangan Pegawai yang Meninggal dalam Melaksanakan Tugas,Jumlah Laporan Hasil Pemulangan Pegawai yang Meninggal dalam Melaksanakan Tugas,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.08,Pemindahan Tugas ASN,Terlaksananya Pemindahan Tugas ASN,Jumlah ASN yang dipindahtugaskan ,Orang
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.09,Pendidikan dan Pelatihan Pegawai Berdasarkan Tugas dan Fungsi,Terlaksananya Pendidikan dan Pelatihan Pegawai Berdasarkan Tugas dan Fungsi,Jumlah Pegawai Berdasarkan Tugas dan Fungsi yang Mengikuti Pendidikan dan Pelatihan ,Orang
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.10,Sosialisasi Peraturan Perundang-Undangan,Terlaksananya Sosialisasi Peraturan Perundang-Undangan,Jumlah Orang yang Mengikuti Sosialisasi Peraturan Perundang-Undangan,Orang
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.05,Administrasi Kepegawaian Perangkat Daerah,X.XX.01.2.05.11,Bimbingan Teknis Implementasi Peraturan Perundang-Undangan,Terlaksananya Bimbingan Teknis Implementasi Peraturan Perundang-Undangan,Jumlah Orang yang Mengikuti Bimbingan Teknis Implementasi Peraturan Perundang-Undangan,Orang
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.06,Administrasi Umum Perangkat Daerah,X.XX.01.2.06.01,"Penyediaan Komponen Instalasi

Listrik/Penerangan Bangunan Kantor",Tersedianya Komponen Instalasi Listrik/Penerangan Bangunan Kantor,Jumlah Paket Komponen Instalasi Listrik/Penerangan Bangunan Kantor yang Disediakan,Paket
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.06,Administrasi Umum Perangkat Daerah,X.XX.01.2.06.02,Penyediaan Peralatan dan Perlengkapan Kantor,Tersedianya Peralatan dan Perlengkapan Kantor,Jumlah Paket Peralatan dan Perlengkapan Kantor yang Disediakan,Paket
